trade_id,client_id,symbol,side,quantity,price,timestamp
TRD_001,CLIENT_001,AAPL,BUY,100,150.25,2024-09-08 09:30:00
TRD_002,CLIENT_001,AAPL,SELL,100,150.30,2024-09-08 09:35:00
TRD_003,CLIENT_002,MSFT,BUY,200,300.50,2024-09-08 09:40:00
TRD_004,CLIENT_003,AAPL,BUY,500,150.20,2024-09-08 09:45:00
TRD_005,CLIENT_003,AAPL,SELL,500,150.35,2024-09-08 09:50:00
TRD_006,CLIENT_001,GOOGL,BUY,50,2500.00,2024-09-08 10:00:00
TRD_007,CLIENT_004,TSLA,BUY,75,250.75,2024-09-08 10:05:00
TRD_008,CLIENT_002,MSFT,SELL,150,300.75,2024-09-08 10:10:00
TRD_009,CLIENT_005,NVDA,BUY,300,450.25,2024-09-08 10:15:00
TRD_010,CLIENT_001,AAPL,BUY,200,150.40,2024-09-08 10:20:00
TRD_011,CLIENT_001,AAPL,SELL,200,150.45,2024-09-08 10:25:00
TRD_012,CLIENT_006,META,BUY,100,350.50,2024-09-08 10:30:00
TRD_013,CLIENT_003,AAPL,BUY,300,150.35,2024-09-08 10:35:00
TRD_014,CLIENT_003,AAPL,SELL,300,150.40,2024-09-08 10:40:00
TRD_015,CLIENT_007,AMD,BUY,150,120.75,2024-09-08 10:45:00
TRD_016,CLIENT_002,MSFT,BUY,100,300.80,2024-09-08 10:50:00
TRD_017,CLIENT_008,NFLX,BUY,80,400.25,2024-09-08 10:55:00
TRD_018,CLIENT_001,AAPL,BUY,150,150.50,2024-09-08 11:00:00
TRD_019,CLIENT_001,AAPL,SELL,150,150.55,2024-09-08 11:05:00
TRD_020,CLIENT_004,TSLA,SELL,50,251.00,2024-09-08 11:10:00
TRD_021,CLIENT_005,NVDA,SELL,200,450.50,2024-09-08 11:15:00
TRD_022,CLIENT_006,META,SELL,100,350.75,2024-09-08 11:20:00
TRD_023,CLIENT_003,AAPL,BUY,400,150.45,2024-09-08 11:25:00
TRD_024,CLIENT_003,AAPL,SELL,400,150.50,2024-09-08 11:30:00
TRD_025,CLIENT_007,AMD,SELL,150,121.00,2024-09-08 11:35:00
